ixdat version = 0.2.0
name = RuG-450Red CV-46cyc.txt AND timescan-RuG-450Red CV-46cyc.txt
technique = EC-MS
tstamp = 1583411924.38
backend_name = BackendBase(none, address=none)
id = 3
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M28' and 'M4' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M28,	M4,	M44,	M32,	M18
0,	0.45,	0.00229297,	0.0,	9.654713837518905e-13,	3.1695e-11,	1.4618313789670596e-13,	4.4406954667314363e-13,	7.352012216813261e-12
2,	0.46,	0.0036385099999999997,	0.0,	9.7027922366279e-13,	3.1823203929601244e-11,	1.4043465844917275e-13,	4.234002882249227e-13,	7.410813608793988e-12
4,	0.47,	0.00447103,	0.0,	9.727826642737026e-13,	3.207552072078596e-11,	1.367380076058823e-13,	4.2211279979374673e-13,	7.332594268195995e-12
6,	0.48,	0.00534348,	0.0,	9.408311643157364e-13,	3.1873e-11,	1.4361368957999913e-13,	4.094773767897014e-13,	7.469e-12
8,	0.49,	0.00608691,	0.0,	9.727309624187402e-13,	3.195157003557939e-11,	1.378785992884122e-13,	4.266305913439473e-13,	7.384014196745657e-12
10,	0.5,	0.006833410000000001,	0.0,	9.732230333536547e-13,	3.1873e-11,	1.3939373203012836e-13,	4.3669027530039953e-13,	7.309887834249444e-12
12,	0.51,	0.00752154,	0.0,	9.557642716717287e-13,	3.1873e-11,	1.418046608009522e-13,	4.267100978812458e-13,	7.334302916646316e-12
14,	0.52,	0.00833562,	0.0,	9.656484320595605e-13,	3.1695e-11,	1.4033917707757045e-13,	4.3737955222906807e-13,	7.331878337647748e-12
16,	0.53,	0.00881485,	0.0,	9.436315016217025e-13,	3.178910812384441e-11,	1.4572838200266115e-13,	4.3310442066799174e-13,	7.412429565726864e-12
18,	0.54,	0.0091497,	0.0,	9.698944985863003e-13,	3.1847437864813866e-11,	1.465561536435831e-13,	4.426008872155701e-13,	7.432810065894274e-12
20,	0.55,	0.009312520000000001,	0.0,	9.656503739762578e-13,	3.1695e-11,	1.3543605476950048e-13,	4.2919954526943654e-13,	7.3785e-12
22,	0.56,	0.00961358,	0.0,	9.54496783139196e-13,	3.1895988622478115e-11,	1.4539140684219402e-13,	4.2925414599797033e-13,	7.390639496022084e-12
24,	0.57,	0.00965658,	0.0,	9.922789353483058e-13,	3.1995596099297575e-11,	1.439032351823344e-13,	4.369024864025015e-13,	7.44065635179327e-12
26,	0.58,	0.00964737,	0.0,	9.646837857354061e-13,	3.191115503754465e-11,	1.49686640586642e-13,	4.307335797554578e-13,	7.431523056033152e-12
28,	0.59,	0.009527560000000001,	0.0,	9.669987283482358e-13,	3.1823211140415943e-11,	1.439920446222459e-13,	4.4254696325545367e-13,	7.401674923873472e-12
30,	0.6,	0.00953677,	0.0,	9.684045975838606e-13,	3.192777566746522e-11,	1.3763478751199114e-13,	4.429186743299169e-13,	7.337200488993984e-12
32,	0.6099995007625584,	0.009444553256672386,	0.0,	9.722725635665352e-13,	3.1856846149234054e-11,	1.4163333284035078e-13,	4.380976950565057e-13,	7.39567948922931e-12
34,	0.6199995005131959,	0.00946302544522871,	0.0,	9.80652416737226e-13,	3.1695e-11,	1.415377926296889e-13,	4.45797830910058e-13,	7.417874580893867e-12
36,	0.6299995005131959,	0.009573672221893734,	0.0,	9.6201e-13,	3.17563495195634e-11,	1.3899053406457624e-13,	4.3102048564477065e-13,	7.41546213648978e-12
38,	0.6399995005131959,	0.009982189311530755,	0.0,	9.565853235714577e-13,	3.175415417327946e-11,	1.4255220272021496e-13,	4.381117006999816e-13,	7.461579180045392e-12
40,	0.6499995005131959,	0.010452117135139195,	0.0,	9.831222284884008e-13,	3.174395436242264e-11,	1.417150147047954e-13,	4.3853437749699427e-13,	7.376157455700833e-12
42,	0.6599995005131959,	0.010971358592543936,	0.0,	9.903777528139008e-13,	3.19157825156507e-11,	1.3704011229802803e-13,	4.5444804145330236e-13,	7.424281076108807e-12
44,	0.6699995005131959,	0.011459909190557196,	0.0,	9.810510200018616e-13,	3.173277379448272e-11,	1.4352033075265328e-13,	4.2293621719000214e-13,	7.363454862998824e-12
46,	0.6799995005131959,	0.01200047852206742,	0.0,	9.674022197343538e-13,	3.17263416342558e-11,	1.4445435404183436e-13,	4.455243626089339e-13,	7.460678373629122e-12
48,	0.6899995005131958,	0.012273847853577647,	0.0,	9.57531658732704e-13,	3.1930287978389026e-11,	1.3855e-13,	4.3158720087636467e-13,	7.349966865011814e-12
50,	0.6999995005131958,	0.012519687712624619,	0.0,	9.892909991818135e-13,	3.199559872571267e-11,	1.4349969482168316e-13,	4.497388220893834e-13,	7.357125430474556e-12
52,	0.7099995005131958,	0.01274092302634167,	0.0,	9.629773930424673e-13,	3.172731391579558e-11,	1.4441450699604476e-13,	4.271428334848261e-13,	7.408174341097793e-12
54,	0.7199995005131958,	0.012995883117346022,	0.0,	9.625080182854431e-13,	3.2007e-11,	1.4763396398757168e-13,	4.4566459409767144e-13,	7.461036031759556e-12
56,	0.7299995005131958,	0.013183241659941277,	0.0,	9.588878853975635e-13,	3.1877115617707584e-11,	1.365394841867332e-13,	4.255886082171483e-13,	7.348904064293322e-12
58,	0.7399995005131959,	0.013364453947316661,	0.0,	9.42492072539468e-13,	3.195803341778709e-11,	1.5117843993876826e-13,	4.506198043572825e-13,	7.36864856113157e-12
60,	0.7499990010252009,	0.013490527571704457,	0.0,	9.625436209039199e-13,	3.1826321788124347e-11,	1.4517757088064205e-13,	4.253895575943841e-13,	7.348977282218662e-12
