ixdat version = 0.2.1dev
name = RuO2 G-450OX-10cyc.txt AND timescan-RuO2G-450Ox-CV-10cyc.txt
technique = EC-MS
tstamp = 1608572231.4
backend_name = BackendBase(none, address=none)
id = 6
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M45' and 'M31' and 'M32' and 'M44' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M45,	M31,	M32,	M44,	M18
0,	0.45,	-0.001827,	0.0,	9.892843789196917e-12,	6.694191391083815e-13,	9.3526e-14,	1.0212673382839025e-13,	3.133e-13,	1.4194139267725393e-13,	4.867349897465692e-12
2,	0.46,	1.7310000000000002e-05,	0.0,	9.8737e-12,	6.596e-13,	9.008505034335385e-14,	9.626517616697903e-14,	3.260602616034965e-13,	1.3802282558293705e-13,	4.860511220963637e-12
4,	0.47,	0.0006068,	0.0,	9.868853347382945e-12,	6.585806398623662e-13,	9.040578413641682e-14,	9.915209095927979e-14,	3.247651771515985e-13,	1.4187686409481818e-13,	4.926135409887176e-12
6,	0.48,	0.001287,	0.0,	9.912509900906825e-12,	6.517409413550427e-13,	9.115844647189093e-14,	9.920703663282466e-14,	3.249670460859262e-13,	1.3628537369628573e-13,	4.8810030157291415e-12
8,	0.49,	0.001682,	0.0,	9.871195069654345e-12,	6.661192000170172e-13,	8.9771e-14,	9.7317e-14,	3.2108841055680263e-13,	1.3952138512334505e-13,	4.8949e-12
10,	0.5,	0.001864,	0.0,	9.9008e-12,	6.707990023825874e-13,	9.02798274381442e-14,	9.455268169358505e-14,	3.2492815996563483e-13,	1.4072034432989645e-13,	4.896352497651782e-12
12,	0.51,	0.002062,	0.0,	9.949437219639286e-12,	6.677859374425989e-13,	8.8708e-14,	9.889912263840424e-14,	3.224593076169946e-13,	1.4077463322115907e-13,	4.897850055980301e-12
14,	0.52,	0.002229,	0.0,	9.893402568330577e-12,	6.705763064302408e-13,	8.701688798751657e-14,	9.85189284141752e-14,	3.1654e-13,	1.3526546853369045e-13,	4.8689e-12
16,	0.53,	0.00239,	0.0,	9.924481430181956e-12,	6.685675503468013e-13,	8.902237378807813e-14,	9.422457731610819e-14,	3.178699609304208e-13,	1.4051495459691255e-13,	4.893582024510277e-12
18,	0.54,	0.002514,	0.0,	9.821808011245729e-12,	6.745920002937317e-13,	8.794275022292137e-14,	9.52162604546547e-14,	3.215671013522148e-13,	1.4198390031576158e-13,	4.912840004825592e-12
20,	0.55,	0.002499,	0.0,	9.918904726086258e-12,	6.736333320976038e-13,	8.681752465176176e-14,	9.721695056301768e-14,	3.2653619154950985e-13,	1.3682523736086168e-13,	4.870757149741921e-12
22,	0.56,	0.002787,	0.0,	9.941715808514984e-12,	6.6327927777081e-13,	9.0842e-14,	1.0077871469105321e-13,	3.1823991912162575e-13,	1.3583733332138852e-13,	4.8884e-12
24,	0.57,	0.002899,	0.0,	9.969105271006529e-12,	6.670034894802318e-13,	8.693783296712097e-14,	9.898041036328913e-14,	3.1684406788360587e-13,	1.4160981137944692e-13,	4.877616315677841e-12
26,	0.58,	0.002994,	0.0,	9.86472074210776e-12,	6.709396588344483e-13,	9.055810724202475e-14,	9.606916933310878e-14,	3.2626024033932845e-13,	1.404103706429777e-13,	4.8624e-12
28,	0.59,	0.003055,	0.0,	9.827801859731433e-12,	6.634237919589566e-13,	8.558154648929743e-14,	9.553844980878874e-14,	3.16269219380772e-13,	1.342763569418695e-13,	4.893111895846531e-12
30,	0.6,	0.003126,	0.0,	9.858990675789641e-12,	6.653090017947681e-13,	8.631045877482525e-14,	9.562189599288295e-14,	3.23273892977259e-13,	1.3901e-13,	4.9305814269698795e-12
32,	0.61,	0.00329,	0.0,	9.887756194448472e-12,	6.669525990009308e-13,	9.1377e-14,	9.786e-14,	3.172034616613388e-13,	1.384316197538376e-13,	4.911689395952224e-12
34,	0.62,	0.003279,	0.0,	9.85800476832504e-12,	6.628534194806738e-13,	8.837959553413522e-14,	9.833126297707174e-14,	3.1732466370817566e-13,	1.4042313839931473e-13,	4.8949e-12
36,	0.63,	0.003334,	0.0,	9.882777308381049e-12,	6.598231946774812e-13,	8.888273749125329e-14,	9.695607109858774e-14,	3.12166332774045e-13,	1.4001177443625994e-13,	4.914611239250001e-12
38,	0.64,	0.00327,	0.0,	9.863858939594427e-12,	6.619980755618735e-13,	9.223415477738673e-14,	9.489292938001327e-14,	3.203328139996088e-13,	1.336264162251406e-13,	4.883306048643079e-12
40,	0.65,	0.0034479999999999997,	0.0,	9.86640781621485e-12,	6.492989198947044e-13,	8.685914151848043e-14,	1.0140707768865256e-13,	3.289609290877805e-13,	1.3556324505084593e-13,	4.917803899229375e-12
42,	0.66,	0.003298,	0.0,	9.9008e-12,	6.487216701128006e-13,	8.706991656482282e-14,	9.77694997909217e-14,	3.083375029744564e-13,	1.3404666758306875e-13,	4.888941667918056e-12
44,	0.67,	0.003564,	0.0,	9.9008e-12,	6.519067882215663e-13,	9.337652865617794e-14,	9.729538536892267e-14,	3.1076390478024633e-13,	1.421544956000197e-13,	4.937002997454013e-12
46,	0.68,	0.003663,	0.0,	9.907411291551288e-12,	6.594468131416341e-13,	8.517696967315204e-14,	9.510201523597626e-14,	3.221595128115213e-13,	1.3423334925452545e-13,	4.869441149227923e-12
48,	0.69,	0.003532,	0.0,	9.794093687674017e-12,	6.39455886208674e-13,	9.042483990063146e-14,	9.3526e-14,	3.241564753708668e-13,	1.3897460982199807e-13,	4.921491709835413e-12
50,	0.7,	0.003811,	0.0,	9.899833865156743e-12,	6.76112150405244e-13,	8.718082283294369e-14,	9.782104988841559e-14,	3.1500134940424593e-13,	1.383779150024224e-13,	4.946305845349105e-12
52,	0.71,	0.003888,	0.0,	1.0003626385461721e-11,	6.651569637892791e-13,	8.725968261801781e-14,	1.0198392215776001e-13,	3.2165e-13,	1.3776349723298251e-13,	4.8691540067106e-12
