ixdat version = 0.2.1dev
name = 01-Ru rgo 450H-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577186652.6
backend_name = BackendBase(none, address=none)
id = 9
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
-50,	0.883707,	0.118,	0.0,	8.076219235301752e-11,	1.2297820525818807e-12,	4.2771089868761613e-13,	9.472838451511207e-13,	1.8259294857024084e-11
-48,	0.883707,	0.118,	0.0,	8.037490052421512e-11,	1.2078839205976922e-12,	4.2589014044356663e-13,	9.309933327478675e-13,	1.810446249434226e-11
-46,	0.883707,	0.118,	0.0,	8.06520975980855e-11,	1.2131180485931892e-12,	4.217645269695163e-13,	9.234821018385978e-13,	1.8261017757717803e-11
-44,	0.883707,	0.118,	0.0,	8.08173736660377e-11,	1.1922330361331052e-12,	4.2587191371082937e-13,	9.4156e-13,	1.8286996019539034e-11
-42,	0.883707,	0.118,	0.0,	8.112395234339503e-11,	1.2041530592299844e-12,	4.1147557811173886e-13,	9.43009658285254e-13,	1.8311006798288856e-11
-40,	0.883707,	0.118,	0.0,	8.061672479117804e-11,	1.1561183408279988e-12,	4.1514195149334883e-13,	9.246027250251291e-13,	1.8102218920650595e-11
-38,	0.883707,	0.118,	0.0,	8.079624657326175e-11,	1.196529685912894e-12,	4.2009998981665753e-13,	9.223389982092742e-13,	1.801331362108467e-11
-36,	0.883707,	0.118,	0.0,	8.10713808478294e-11,	1.1783687133437242e-12,	4.1552455815756436e-13,	9.097631303361794e-13,	1.8190136034128378e-11
-34,	0.883707,	0.118,	0.0,	8.081402960999044e-11,	1.2025926025811282e-12,	4.1449674594829467e-13,	9.429275714221223e-13,	1.8148298822202743e-11
-32,	0.883707,	0.118,	0.0,	8.074861141587458e-11,	1.1760517763239105e-12,	4.1941117299098877e-13,	9.325617169238364e-13,	1.810808677940995e-11
-30,	0.883707,	0.118,	0.0,	8.106548298574192e-11,	1.2002884364213674e-12,	4.2953e-13,	9.513765962818288e-13,	1.8326e-11
-28,	0.883707,	0.118,	0.0,	8.10026803592737e-11,	1.1856159722315293e-12,	4.21654791996285e-13,	9.481948173923268e-13,	1.8179091735411855e-11
-26,	0.883707,	0.118,	0.0,	8.088294180705304e-11,	1.2088e-12,	4.2847e-13,	9.330000895927227e-13,	1.8225e-11
-24,	0.883707,	0.118,	0.0,	8.04786025988561e-11,	1.1860717934881643e-12,	4.291082058135092e-13,	9.294538479411713e-13,	1.81112179507527e-11
-22,	0.883707,	0.118,	0.0,	8.108707299110633e-11,	1.195219530216728e-12,	4.284271402919099e-13,	9.421405339658244e-13,	1.815966470923637e-11
-20,	0.883707,	0.118,	0.0,	8.049839442899922e-11,	1.1811252494225285e-12,	4.205496274180442e-13,	9.322433335245698e-13,	1.8088856046897455e-11
-18,	0.883707,	0.118,	0.0,	8.076401774031424e-11,	1.197720117445818e-12,	4.1567479182464244e-13,	9.177119519636024e-13,	1.8125e-11
-16,	0.883707,	0.118,	0.0,	8.078454712553886e-11,	1.181974146226094e-12,	4.1783567093932866e-13,	9.16131781768144e-13,	1.8203653289424174e-11
-14,	0.883707,	0.118,	0.0,	8.088318437708735e-11,	1.1836002018912946e-12,	4.0672793531690557e-13,	9.30259761624457e-13,	1.8258697402671242e-11
-12,	0.883707,	0.118,	0.0,	8.0714e-11,	1.183123079907379e-12,	4.186684596230823e-13,	9.234576879180554e-13,	1.8076923090488084e-11
-10,	0.883707,	0.118,	0.0,	8.075281161638217e-11,	1.1847466889923256e-12,	4.132896585263536e-13,	9.269330059036063e-13,	1.81e-11
-8,	0.883707,	0.118,	0.0,	8.100169235325265e-11,	1.1953678537200824e-12,	4.0845232622247134e-13,	9.353533731410874e-13,	1.824302763210365e-11
-6,	0.883707,	0.118,	0.0,	8.041585796321442e-11,	1.1937e-12,	4.1187189408714973e-13,	9.4835e-13,	1.8109911245525242e-11
-4,	0.883707,	0.118,	0.0,	8.05512918130723e-11,	1.1931088783886477e-12,	4.2532810769936875e-13,	9.006664652727095e-13,	1.8238708081590886e-11
-2,	0.883707,	0.118,	0.0,	8.095661145373e-11,	1.196880472816407e-12,	4.2087283974112543e-13,	8.978932532914808e-13,	1.8106508878974375e-11
0,	0.883707,	0.118,	0.0,	8.065385204927129e-11,	1.1801828376468132e-12,	4.487670384107872e-13,	9.15726273207017e-13,	1.8071372747955337e-11
2,	0.9769714960924684,	0.118,	0.0,	8.125606904850076e-11,	1.2208627217098417e-12,	5.074075933600203e-13,	9.237419123682555e-13,	1.8105867852881183e-11
4,	1.03284,	0.118,	0.0,	8.091338271733242e-11,	1.2069601575725883e-12,	5.708998209697382e-13,	9.089690091332662e-13,	1.8272187394192932e-11
6,	1.072439998027086,	0.118,	0.0,	8.1036e-11,	1.218839213491807e-12,	6.191563054702251e-13,	9.287680378983702e-13,	1.8118689297297097e-11
8,	1.09987,	0.118,	0.0,	8.106230095647518e-11,	1.262399221713776e-12,	6.8333e-13,	9.332855144505969e-13,	1.8289178660934744e-11
10,	1.1174549991521239,	0.118,	0.0,	8.08123471397417e-11,	1.2632721893240693e-12,	7.391031952457368e-13,	9.660216961527385e-13,	1.826286982206782e-11
12,	1.12884,	0.118,	0.0,	8.0287e-11,	1.2977426082711972e-12,	7.653604675449751e-13,	9.4835e-13,	1.8219674565673742e-11
14,	1.1364599996215103,	0.118,	0.0,	8.060974359167886e-11,	1.2731743590973483e-12,	8.3823769253884e-13,	1.0025461538787099e-12,	1.8128846156559155e-11
16,	1.1418,	0.118,	0.0,	8.028784224848014e-11,	1.2820954632985847e-12,	8.490931559662019e-13,	1.026156802712611e-12,	1.8325899403577315e-11
18,	1.1454699998122453,	0.118,	0.0,	8.070136677776406e-11,	1.2821e-12,	9.2504188477613e-13,	1.1026662705956349e-12,	1.8124260349986187e-11
20,	1.14823,	0.118,	0.0,	8.018517752450963e-11,	1.3018643021059838e-12,	9.266100004561461e-13,	1.197878494031541e-12,	1.8324570017474626e-11
22,	1.1502099999016522,	0.118,	0.0,	8.0287e-11,	1.2832619354929727e-12,	9.612831542208195e-13,	1.2986528561200557e-12,	1.8110601601213255e-11
24,	1.15177,	0.118,	0.0,	8.057102364059078e-11,	1.323430177304431e-12,	9.923826040201044e-13,	1.3359449689679626e-12,	1.7992272222305824e-11
26,	1.1530349999329448,	0.118,	0.0,	8.0287e-11,	1.3038569976428543e-12,	1.0218797777581838e-12,	1.5096879596287348e-12,	1.8053007923771904e-11
