ixdat version = 0.2.1dev
name = 02-RuO2 rgo 450oxo-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577206441.2
backend_name = BackendBase(none, address=none)
id = 12
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
-50,	0.904682,	0.257,	0.0,	8.022806018339166e-11,	1.4260295110889351e-12,	5.931482514927639e-13,	1.0639e-12,	1.842427441648642e-11
-48,	0.904682,	0.257,	0.0,	7.992611248111639e-11,	1.4329857868223205e-12,	6.067066850418231e-13,	1.0456239635318392e-12,	1.849108283045597e-11
-46,	0.904682,	0.257,	0.0,	8.009998816089447e-11,	1.3751751476596417e-12,	5.961868050215564e-13,	1.0761952654863927e-12,	1.843689348943246e-11
-44,	0.904682,	0.257,	0.0,	8.055313030763763e-11,	1.3782051332013755e-12,	5.77397877587477e-13,	1.0525131292614672e-12,	1.831368706773394e-11
-42,	0.904682,	0.257,	0.0,	8.0287e-11,	1.4007328387283966e-12,	5.78352130046762e-13,	1.060381065284372e-12,	1.8504849113712973e-11
-40,	0.904682,	0.257,	0.0,	8.059188185960853e-11,	1.3918385801610874e-12,	5.8881e-13,	1.065369294269295e-12,	1.833436222140403e-11
-38,	0.904682,	0.257,	0.0,	8.018091906571928e-11,	1.3981185602624723e-12,	5.980794980076868e-13,	1.0544705836194906e-12,	1.8527111543648485e-11
-36,	0.904682,	0.257,	0.0,	8.007636308789568e-11,	1.4150498064758655e-12,	5.838198537197813e-13,	1.0755066985669191e-12,	1.8426395148251223e-11
-34,	0.904682,	0.257,	0.0,	8.029598493160993e-11,	1.4050432876682878e-12,	6.005902600506699e-13,	1.0550743453940178e-12,	1.849952807092356e-11
-32,	0.904682,	0.257,	0.0,	8.027997041540326e-11,	1.3791958574416696e-12,	5.9398e-13,	1.077995858382177e-12,	1.8521426036627115e-11
